Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Comics,4.8,5000,61,9,3595,58,44,20,0,2,5,9,3896,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,51.11111111
2,Music & Audio,4.3,1000,1179,41338,111173,1598,592,232,0,6,2,3,11987,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
2,Music & Audio,4.7,50000,566,12,58448,754,316,135,3,2,2,3,31846,0,0,1,1,0,0,0,0,0,0,2,5,0,1,0,3,1,0,0,0,51.11111111
2,Tools,4.3,10000,195,6,17913,0,0,0,0,4,2,0,117297,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Shopping,3.8,10000,43,3,4044,0,0,0,0,0,0,0,125931,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Education,4,50000,145,9,18522,192,95,25,0,1,5,6,4124,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Personalization,4.5,10000,74,5095,7308,73,14,4,0,0,2,2,4233,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,51.11111111
2,Shopping,4.1,100000,309,6,26587,394,192,83,0,2,2,0,136890,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Card,4.1,1000000,1909,15,182397,2939,1433,470,6,4,2,0,66543,1,1,1,1,0,0,0,0,0,0,7,8,2,1,3,13,0,0,1,1,83.33333333
2,Medical,4.5,50000,1401,9,141294,2205,1186,393,0,1,5,0,54087,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
2,Lifestyle,4.6,5000000,5640,9,642619,10795,7360,1441,0,9,2,0,132382,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,92
2,Tools,3.8,10000,468,15,63529,753,300,124,9,4,2,0,48658,0,1,1,1,0,0,0,0,0,0,6,4,1,1,3,14,3,0,0,1,100
2,Puzzle,3.4,100000,1108,15,109019,0,0,0,0,8,3,0,77566,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
2,Puzzle,3.4,10000,11,3,1444,0,0,0,0,0,2,0,127531,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2,Personalization,4.5,1000,1882,9,272115,3346,1907,494,0,3,2,6,4180,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,92
2,Tools,4.4,1000,105,6,5838,97,17,8,1,1,2,3,3882,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Action,3.9,50000,393,49173,49746,636,122,51,0,2,2,0,66980,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,51.11111111
2,Role Playing,3.7,50000,668,9,74716,957,400,155,0,2,2,20,18856,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
2,Lifestyle,4.3,1000000,1651,15,144468,0,0,0,0,4,2,0,123970,1,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
2,Business,4.1,10000,13,3,570,0,0,0,0,0,2,0,126663,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Action,4.2,500000,870,15,85369,1207,456,188,1,3,2,7,16243,1,0,1,1,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,0,51.11111111
2,Travel & Local,4,5000000,748,6,66268,691,406,111,2,2,4,9,18361,1,0,1,0,0,0,0,0,0,0,1,3,0,1,0,4,0,0,0,1,51.11111111
2,Puzzle,4.4,1000,541,12,72084,0,0,0,0,1,2,0,118611,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,92
2,Social,4.1,5000000,4463,9,550431,8661,5157,1204,0,3,7,11,17749,0,1,1,1,0,0,0,0,0,0,4,4,0,1,0,6,0,0,1,1,100
2,Health & Fitness,3.2,1000,2667,9,264698,0,0,0,2,2,3,0,118648,0,1,0,1,0,0,0,0,0,0,2,4,0,1,0,7,0,0,0,1,50
2,News & Magazines,3.6,1000,1692,12,171609,2230,751,289,2,1,3,0,65799,0,0,1,1,0,0,0,0,0,0,4,7,0,1,0,5,0,0,1,2,50
2,Travel & Local,4.2,10000,464,9,77202,734,207,89,1,6,2,5,11997,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,3,0,0,0,2,100
2,Adventure,4.1,10000,1404,12,150276,2014,766,300,1,4,2,9,30329,1,1,1,1,0,0,0,0,0,0,2,3,0,1,0,4,0,0,0,1,100
2,Tools,4.4,1000,593,15,56848,0,0,0,0,1,0,0,94790,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
