RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,CloneFragement,CloneGroup,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
700,51,133,47,5114,12652,26,13,0.003714828,0.404204869,1,0,6,6,0
701,0,30,1,3,2558,2,1,0.00039093,0.001172791,0,1,1,0,1
703,50,904,386,15,89941,262,106,0.004291702,0.000166776,6,2,13,2,6
705,51,468,110,6,51320,248,105,0.002143414,0.000116913,0,4,4,0,1
706,100,986,290,6,122563,585,239,0.00236613,4.89544E-05,0,5,5,0,1
713,51,2304,688,12,256013,1585,558,0.002687364,4.68726E-05,0,3,11,0,3
715,51,254,80,9,45094,43,18,0.001774072,0.000199583,1,5,4,4,0
719,51,1305,181,15,116373,840,234,0.001555344,0.000128896,3,2,11,3,5
720,51,111,89,6,14936,38,14,0.005958757,0.000401714,0,2,2,0,1
737,51,61,25,5098,6167,0,0,0.004053835,0.826658018,0,0,2,0,0
765,51,1323,363,24,135577,942,297,0.002677445,0.000177021,2,2,6,3,3
766,51,510,147,9,55440,269,116,0.002651515,0.000162338,0,2,2,0,1
769,51,924,284,6,68349,476,168,0.004155145,8.77848E-05,0,3,2,0,0
770,92,227,71,9,22424,91,43,0.00316625,0.000401356,0,9,3,0,0
771,51,209,174,6,20051,130,15,0.008677871,0.000299237,0,3,5,0,1
772,51,221,70,6,18936,72,34,0.003696662,0.000316857,0,0,5,0,0
775,100,2130,536,6,320371,3782,652,0.00167306,1.87283E-05,0,1,9,0,9
779,51,1667,438,9,97354,430,133,0.004499045,9.24461E-05,0,0,5,0,0
790,92,235,122,6,49928,77,31,0.002443519,0.000120173,1,1,3,3,3
791,51,87,42,6,10451,22,10,0.004018754,0.000574108,0,7,1,0,0
794,51,661,179,12,59179,205,78,0.003024722,0.000202775,0,1,6,0,6
795,92,549,171,15,49388,299,105,0.00346238,0.000303718,2,7,12,6,1
796,92,957,248,9,86481,452,183,0.002867682,0.000104069,2,4,6,3,1
797,51,1963,531,12,161426,461,191,0.003289433,7.43375E-05,1,2,11,11,5
800,51,725,157,6,86172,428,160,0.001821938,6.96282E-05,0,3,4,0,1
801,50,1445,420,6,152686,1086,365,0.002750743,3.92963E-05,2,3,11,5,3
804,92,220,81,3,41359,57,23,0.001958461,7.25356E-05,1,1,3,3,3
805,51,648,211,6,43645,147,49,0.00483446,0.000137473,0,3,2,0,0
