RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
31601,51,187,43,3354,15429,0.2787,21.73829,2,1,4,2,4
68514,51,1910,433,12,223044,0.19413,0.00538,0,6,6,0,1
13734,86,6512,1057,13,467575,0.22606,0.00278,10,2,46,4,23
142442,92,1934,363,9,236634,0.1534,0.0038,0,2,3,0,1
135367,50,925,180,15,86076,0.20912,0.01743,0,15,19,0,1
53589,92,2099,510,9,211719,0.24089,0.00425,0,11,3,0,0
123115,51,1217,393,12,130874,0.30029,0.00917,0,2,2,0,1
90975,92,2424,634,22,286459,0.22132,0.00768,0,5,8,0,1
137827,92,3360,1053,24,375575,0.28037,0.00639,0,10,6,0,0
124715,92,4008,885,9,436462,0.20277,0.00206,0,6,2,0,0
168047,51,1408,1256,15,309809,0.40541,0.00484,0,9,2,0,0
103387,51,1391,406,9,134946,0.30086,0.00667,4,2,15,3,7
18434,50,215,80,9,33258,0.24054,0.02706,1,3,8,8,2
55243,51,893,230,9,80233,0.28667,0.01122,2,2,6,3,3
50815,51,1303,1252,15,284572,0.43996,0.00527,0,11,3,0,0
140262,92,2591,428,9,320019,0.13374,0.00281,0,10,3,0,0
13849,51,3031,757,18,264229,0.28649,0.00681,2,2,8,4,4
151576,51,1967,637,12,194001,0.32835,0.00619,5,2,18,3,9
134417,100,2444,557,6,183716,0.30319,0.00327,14,4,38,2,9
6223,50,493,221,6,59864,0.36917,0.01002,0,1,9,0,9
20328,92,635,235,12,90085,0.26086,0.01332,0,7,5,0,0
170613,100,3747,1215,12,401428,0.30267,0.00299,3,1,15,5,15
29426,51,550,96,6,53625,0.17902,0.01119,1,3,5,5,1
156377,51,656,165,5114,80036,0.20616,6.38962,1,1,4,4,4
169261,51,1279,256,9,107532,0.23807,0.00837,0,1,6,0,6
149568,51,766,326,9,73022,0.44644,0.01233,0,2,5,0,2
18010,51,3520,880,15,288918,0.30458,0.00519,0,2,13,0,6
183857,51,1148,302,12,101276,0.2982,0.01185,1,1,7,7,7
155194,92,914,369,6,125120,0.29492,0.0048,0,7,4,0,0
119283,51,605,148,6,55270,0.26778,0.01086,1,1,6,6,6
140602,92,2151,408,12,259623,0.15715,0.00462,0,3,5,0,1
128587,100,4764,994,18,518876,0.19157,0.00347,0,1,12,0,12
144578,92,4871,1262,12,611792,0.20628,0.00196,1,2,10,10,5
3782,51,765,223,6,83436,0.26727,0.00719,0,2,4,0,2
179151,92,369,122,6,35046,0.34811,0.01712,0,7,5,0,0
17847,92,1895,510,6,295190,0.17277,0.00203,1,4,4,4,1
127066,92,4079,830,12,448410,0.1851,0.00268,0,5,7,0,1
55046,92,919,262,9,82909,0.31601,0.01086,5,0,21,4,0
23528,92,2956,762,12,409215,0.18621,0.00293,0,5,2,0,0
91415,51,1915,672,4356,189130,0.35531,2.30318,3,3,17,5,5
66683,0,81,36,6,6315,0.57007,0.09501,1,3,1,1,0
69211,92,622,375,6,103152,0.36354,0.00582,0,1,3,0,3
2718,51,432,129,6,33698,0.38281,0.01781,0,0,8,0,0
21234,100,2654,871,9,232370,0.37483,0.00387,19,1,55,2,55
30503,51,1234,515,18,126694,0.40649,0.01421,3,1,11,3,11
31279,86,5649,1101,18,471627,0.23345,0.00382,7,0,31,4,0
155030,0,240,100,3,17938,0.55748,0.01672,0,1,1,0,1
177671,92,2280,414,6,269911,0.15338,0.00222,0,2,3,0,1
169580,0,62,22,6,4641,0.47404,0.12928,1,0,2,2,0
10993,51,75,24,3,6913,0.34717,0.0434,1,2,4,4,2
140642,51,228,81,3,23436,0.34562,0.0128,1,1,8,8,8
3,0,30,10,3,5210,0.19194,0.05758,0,1,1,0,1
10968,51,107,24,3,8142,0.29477,0.03685,0,1,1,0,1
124226,50,300,104,12,29240,0.35568,0.04104,3,0,9,3,0
153358,50,894,281,15,97309,0.28877,0.01541,1,0,9,9,0
143049,92,2151,433,12,266814,0.16229,0.0045,3,2,8,2,4
147463,51,798,305,18,90265,0.33789,0.01994,0,6,4,0,0
145088,92,262,91,9,33948,0.26806,0.02651,0,1,3,0,3
81560,92,1787,250,9,157879,0.15835,0.0057,1,1,4,4,4
19455,92,208,59,6,22506,0.26215,0.02666,0,7,5,0,0
11677,51,75,32,9,7343,0.43579,0.12257,1,1,3,3,3
140553,51,226,72,5117,23218,0.3101,22.03894,1,1,4,4,4
13013,51,1900,585,6,188906,0.30968,0.00318,0,3,11,0,3
6834,92,1102,277,9,134594,0.2058,0.00669,3,1,5,1,5
164124,50,187,95,3,34120,0.27843,0.00879,2,0,6,3,0
54970,92,464,119,9,43693,0.27235,0.0206,3,1,13,4,13
138866,51,361,298,10,63569,0.46878,0.01573,4,3,7,1,2
148073,51,199,60,9,17800,0.33708,0.05056,1,1,6,6,6
150415,100,4391,1225,37964,446424,0.2744,8.50402,1,5,16,16,3
154863,51,328,54,6,30604,0.17645,0.01961,1,1,2,2,2
121733,92,69,10,9,7103,0.14079,0.12671,0,3,2,0,0
147066,92,1605,550,9,223078,0.24655,0.00403,0,4,4,0,1
53374,92,4254,1180,15,466978,0.25269,0.00321,0,8,3,0,0
160687,92,1895,343,9,162441,0.21115,0.00554,0,2,8,0,4
160921,92,2263,625,15,288312,0.21678,0.0052,7,0,11,1,0
139913,51,59,172,3,25254,0.68108,0.01188,7,2,11,1,5
12204,50,5636,1461,16,564403,0.25886,0.00283,3,2,10,3,5
