Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,Jlint
2,Tools,3.1,10000,51,68,5098,7362,59,0,0,,,2,,27
2,Music & Audio,4,50000,51,1463,6,120810,2120,665,263,,4,2,1,317
2,Communication,3.9,1000,53,915,12,94482,,,,9,3,3,,292
2,Adventure,4.3,100000,51,1735,9,195086,,,,4,1,2,,722
2,Personalization,4.2,100000,50,125,9,18563,,,,2,1,2,,76
2,Tools,4.3,10000,0,46,6,3185,25,7,3,,1,2,7,6
2,Entertainment,4.6,1000,0,518,6,48381,709,347,141,,4,2,11,85
2,Tools,4.4,5000000,86,4731,40,511234,,,,19,,8,,1720
2,Lifestyle,4.3,10000,92,261,3,31104,445,125,33,,,2,,38
2,Entertainment,3.4,10000,51,138,3,22150,75,33,14,,1,2,14,76
2,Medical,3.7,100000,92,896,6,117589,,,,,3,2,,220
2,Sports,4.6,1000,51,83,6,8214,98,6,3,,1,2,,36
2,Puzzle,3.8,5000,51,1606,6,247751,4031,3034,506,,3,2,8,439
2,Word,4.5,100000,92,2531,9,275356,3636,1404,546,,2,2,1,767
2,Sports,4.3,10000,0,65,3,4149,103,17,8,,,2,10,16
2,Entertainment,4.2,500000,92,2585,21,329940,3607,1336,507,1,8,8,5,700
2,Business,4.7,1000,51,955,12,80356,1211,235,89,1,2,3,4,267
2,Tools,4,10000,0,39,3,2039,53,16,7,,1,2,,1
2,Tools,4.2,1000,50,614,9,69359,1040,396,140,7,2,,,269
2,Racing,3.9,100000,100,444,6,59294,521,109,47,1,5,2,9,202
2,Educational,4,1000,51,1398,6,145813,2186,1012,298,,1,2,2,563
2,Music & Audio,3.4,10000,0,322,6,29389,439,217,91,1,3,3,,53
2,Tools,4.2,5000,51,162,6,13921,152,32,14,,1,2,4,56
2,Education,3.4,10000,50,1780,9,218414,,,,2,,5,,350
2,Entertainment,4,10000,92,4563,30,570548,,,,,8,6,,1265
2,Arcade,4.4,1000000,50,400,3,32104,376,56,24,1,1,5,,196
2,Entertainment,3.7,10000,92,868,6,97190,1004,352,143,1,3,1,,227
2,Tools,3.9,10000,51,133,3,14499,232,118,34,,1,2,14,16
2,Travel & Local,3.1,10000,50,1457,103,157568,1935,696,293,3,6,5,2,517
2,Tools,4.2,10000,0,5,3,108,1,0,0,,,4,7,0
2,Entertainment,3.3,10000,51,380,15,33883,587,225,96,,9,2,1,106
2,Entertainment,3.7,1000,0,7,3,1275,12,6,2,,1,2,,0
2,Business,4.5,5000,0,205,12,23649,195,32,12,1,,2,4,83
2,Music & Audio,4,10000,92,241,6,43508,280,62,25,,2,2,3,100
2,Word,4.2,100000,51,247,3,35302,,,,1,2,2,,206
2,Card,4.3,1000,51,2055,13,230513,,,,,4,2,,715
2,Books & Reference,4.9,1000,92,727,9,78130,848,185,71,,1,2,6,222
2,Social,4.2,5000,92,563,6,73039,709,311,126,,1,2,,135
2,Medical,4.3,10000,51,588,9,58014,765,274,112,1,5,2,,175
2,Photography,4.3,1000,92,11,3,1444,1,0,0,3,,2,,0
2,Tools,4.1,100000,51,1646,9,207180,2804,1714,405,,2,2,,508
2,Music & Audio,4.3,100000,51,765,6,83459,979,337,128,,2,2,9,224
2,Strategy,4.6,10000000,92,3454,12,380995,6835,4701,811,3,1,2,6,679
2,Social,3.7,5000,50,29,3,1624,13,9,4,2,,2,4,12
2,Communication,3.5,10000,51,103,3676,9070,149,30,13,1,,2,1,30
2,Transportation,4.4,5000,51,522,3,109932,,,,,,9,,278
2,Books & Reference,4.6,5000000,92,1378,6,174474,2065,903,298,,6,2,10,472
2,Casual,3.3,1000,92,545,9,69780,697,283,118,,2,2,7,135
2,Media & Video,4.4,100000,51,1175,21,127949,2119,1149,399,,4,2,9,526
2,Puzzle,4.4,5000000,92,271,6,49851,300,68,30,,1,2,6,101
2,Arcade,3.2,10000,51,216,9,19775,,,,,1,2,,39
2,Tools,4.4,50000,51,166,6,13392,153,4,2,,1,2,2,64
2,Puzzle,3.5,5000,51,86,3,8367,96,8,4,,1,2,,33
2,Music & Audio,3.7,50000,51,71,5111,7019,77,2,1,,,,,21
2,Strategy,4.6,1000000,92,3186,9,351216,6501,4612,781,3,1,2,3,573
2,Music & Audio,3.6,10000,51,1511,13,145028,2284,774,312,1,1,2,4,424
2,Travel & Local,3,1000,50,1457,103,157572,1935,698,293,3,6,5,1,517
2,Sports,3.9,1000,51,96,5114,9995,107,12,5,,,2,5,32
2,Music & Audio,4,1000,51,382,6,32780,498,221,95,2,2,3,17,66
2,Puzzle,4.3,1000000,51,1513,9,159173,2286,1024,353,,2,2,11,479
2,Travel & Local,4,10000,100,1104,15,107812,1591,637,236,1,7,3,4,367
2,Entertainment,3.7,10000000,100,2616,9,210730,3535,1662,337,,3,2,4,464
2,Books & Reference,4.4,100000,50,1325,6,153996,2841,2017,350,3,1,2,,162
2,Tools,4.5,1000,92,191,3,26238,,,,1,1,2,,79
2,Communication,3.8,5000,50,174,3,24659,323,154,33,2,3,,,37
2,Action,4.4,10000000,50,1163,3676,127736,1858,844,213,2,1,3,4,450
2,Books & Reference,4.5,5000,0,26,6,1382,35,2,1,,1,3,4,3
2,Tools,4.1,5000,51,96,6,7704,155,41,12,,,2,,29
2,Finance,4.2,100000,50,1104,9,83557,1405,648,169,1,1,3,7,318
2,Casual,4.5,1000000,51,1259,18,109706,1738,606,252,3,3,5,,317
2,Personalization,4.5,100000,0,52,9,3970,78,24,9,1,,4,19,15
2,Transportation,4,10000,51,1395,12,179141,,,,,6,2,,254
2,Music & Audio,3.6,1000,100,2430,15,260226,3178,1213,462,4,3,2,3,600
2,Travel & Local,3.4,5000,50,128,9,16858,,,,2,6,2,,62
2,Education,4.4,5000,51,475,12,41864,690,268,87,,1,2,9,135
