Files	LevenDistance	Not a Clone	Clone
kraw_try1.type4b_krawitz()-kraw_try1.sumprod1b()	53		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod4c()	53		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod3d()	54		
kraw_try1.type4b_krawitz()-kraw_try1.mult()	64		
kraw_try1.type4b_krawitz()-kraw_try1.main()	91		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod4d()	59		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod2d()	54		
kraw_try1.type4b_krawitz()-kraw_try1.type1b_krawitz()	50		
kraw_try1.type4b_krawitz()-kraw_try1.type3a_krawitz()	53		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod2a()	54		
kraw_try1.type4b_krawitz()-kraw_try1.type2b_krawitz()	50		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod4a()	53		
kraw_try1.type4b_krawitz()-kraw_try1.type3b_krawitz()	62		
kraw_try1.type4b_krawitz()-kraw_try1.type1a_krawitz()	51		
kraw_try1.type4b_krawitz()-kraw_try1.type4b2_krawitz()	23		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod4b()	54		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod2c()	53		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod3e()	55		
kraw_try1.type4b_krawitz()-kraw_try1.type4a_krawitz()	62		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod1c()	53		
kraw_try1.type4b_krawitz()-kraw_try1.foo3()	62		
kraw_try1.type4b_krawitz()-kraw_try1.sumprod3a()	51		
kraw_try1.sumprod3b()-kraw_try1.sumprod1b()	2		
kraw_try1.sumprod3b()-kraw_try1.sumprod4c()	9		
kraw_try1.sumprod3b()-kraw_try1.sumprod3d()	6		
kraw_try1.sumprod3b()-kraw_try1.mult()	68		
kraw_try1.sumprod3b()-kraw_try1.main()	90		
kraw_try1.sumprod3b()-kraw_try1.sumprod4d()	22		
kraw_try1.sumprod3b()-kraw_try1.sumprod2d()	5		
kraw_try1.sumprod3b()-kraw_try1.type1b_krawitz()	39		
kraw_try1.sumprod3b()-kraw_try1.type3a_krawitz()	39		
kraw_try1.sumprod3b()-kraw_try1.sumprod2a()	3		
kraw_try1.sumprod3b()-kraw_try1.type2b_krawitz()	39		
kraw_try1.sumprod3b()-kraw_try1.sumprod4a()	3		
kraw_try1.sumprod3b()-kraw_try1.type3b_krawitz()	54		
kraw_try1.sumprod3b()-kraw_try1.type1a_krawitz()	39		
kraw_try1.sumprod3b()-kraw_try1.type4b2_krawitz()	56		
kraw_try1.sumprod3b()-kraw_try1.sumprod4b()	2		
kraw_try1.sumprod3b()-kraw_try1.sumprod2c()	15		
kraw_try1.sumprod3b()-kraw_try1.sumprod3e()	11		
kraw_try1.sumprod3b()-kraw_try1.type4a_krawitz()	57		
kraw_try1.sumprod3b()-kraw_try1.sumprod1c()	2		
kraw_try1.sumprod3b()-kraw_try1.foo3()	62		
kraw_try1.sumprod3b()-kraw_try1.sumprod3a()	6		
kraw_try1.sumprod3b()-kraw_try1.type4b_krawitz()	53		
kraw_try1.sumprodo()-kraw_try1.sumprod1b()	1		
kraw_try1.sumprodo()-kraw_try1.sumprod4c()	10		
kraw_try1.sumprodo()-kraw_try1.sumprod3d()	6		
kraw_try1.sumprodo()-kraw_try1.mult()	69		
kraw_try1.sumprodo()-kraw_try1.main()	90		
kraw_try1.sumprodo()-kraw_try1.sumprod4d()	22		
kraw_try1.sumprodo()-kraw_try1.sumprod2d()	3		
kraw_try1.sumprodo()-kraw_try1.type1b_krawitz()	39		
kraw_try1.sumprodo()-kraw_try1.type3a_krawitz()	39		
kraw_try1.sumprodo()-kraw_try1.sumprod2a()	2		
kraw_try1.sumprodo()-kraw_try1.type2b_krawitz()	39		
kraw_try1.sumprodo()-kraw_try1.sumprod4a()	1		
kraw_try1.sumprodo()-kraw_try1.type3b_krawitz()	54		
kraw_try1.sumprodo()-kraw_try1.type1a_krawitz()	39		
kraw_try1.sumprodo()-kraw_try1.type4b2_krawitz()	57		
kraw_try1.sumprodo()-kraw_try1.sumprod4b()	1		
kraw_try1.sumprodo()-kraw_try1.sumprod2c()	15		
kraw_try1.sumprodo()-kraw_try1.sumprod3e()	10		
kraw_try1.sumprodo()-kraw_try1.type4a_krawitz()	57		
kraw_try1.sumprodo()-kraw_try1.sumprod1c()	1		
kraw_try1.sumprodo()-kraw_try1.foo3()	63		
kraw_try1.sumprodo()-kraw_try1.sumprod3a()	5		
kraw_try1.sumprodo()-kraw_try1.type4b_krawitz()	54		
kraw_try1.sumprodo()-kraw_try1.sumprod3b()	2		
kraw_try1.sumprod2b()-kraw_try1.sumprod1b()	2		
kraw_try1.sumprod2b()-kraw_try1.sumprod4c()	10		
kraw_try1.sumprod2b()-kraw_try1.sumprod3d()	8		
kraw_try1.sumprod2b()-kraw_try1.mult()	69		
kraw_try1.sumprod2b()-kraw_try1.main()	90		
kraw_try1.sumprod2b()-kraw_try1.sumprod4d()	23		
kraw_try1.sumprod2b()-kraw_try1.sumprod2d()	4		
kraw_try1.sumprod2b()-kraw_try1.type1b_krawitz()	39		
kraw_try1.sumprod2b()-kraw_try1.type3a_krawitz()	39		
kraw_try1.sumprod2b()-kraw_try1.sumprod2a()	0		
kraw_try1.sumprod2b()-kraw_try1.type2b_krawitz()	39		
kraw_try1.sumprod2b()-kraw_try1.sumprod4a()	3		
kraw_try1.sumprod2b()-kraw_try1.type3b_krawitz()	54		
kraw_try1.sumprod2b()-kraw_try1.type1a_krawitz()	39		
kraw_try1.sumprod2b()-kraw_try1.type4b2_krawitz()	56		
kraw_try1.sumprod2b()-kraw_try1.sumprod4b()	2		
kraw_try1.sumprod2b()-kraw_try1.sumprod2c()	15		
