APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
41fc3793-7e89-4f5a-b80b-29dd59a63a9e,2,Media & Video,3.5,1000,57,3660,5793,58,6,2,,1,2,4,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
1fe93d23-cbf7-4cdb-bef0-a49e22db937b,2,Books & Reference,4.1,10000,2174,15,213840,3040,1119,377,2,3,2,3,0,0,1,1,0,0,0,0,0,0,5,0,1,1,1,9,0,0,1,2,50.66666667
5caad898-76cf-4b16-b318-252d240a802a,2,Tools,3.6,500000,75,3466,6864,73,0,0,,1,2,19,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
72da8a97-f315-4896-9f01-b2527f6fdc34,2,Media & Video,3.4,1000,8,3,401,6,0,0,,1,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ff75f8b3-da9b-4c1c-b989-e7f552ea0e95,2,Health & Fitness,4.6,1000,3002,18,302643,,,,1,3,2,,0,1,1,1,0,0,0,0,0,0,5,4,0,1,0,6,0,0,1,2,100
b1aa94f2-fc87-4c0c-b277-62de3ffe11ca,2,Business,4.2,1000,64,9,4895,103,8,4,,1,2,15,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
7843ed94-16b4-4275-80cd-ce14bb27d843,2,Music & Audio,4.3,100000,515,6,43763,,,,1,3,2,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6408fb09-f9ad-405d-8e73-d24412860b4b,2,Personalization,4.6,1000,2211,21,234105,3465,1598,495,1,8,5,,0,0,1,1,0,0,0,0,0,0,2,3,0,1,0,6,0,0,1,0,51.11111111
c2ebf6f0-91f3-48fa-8208-2d5142c565b0,2,News & Magazines,3,1000,2318,15,334231,3901,2088,542,2,2,2,4,0,1,1,1,0,0,0,0,0,0,2,5,0,1,0,2,0,0,1,1,92
8faca760-60b2-4882-9991-9863ac85e733,2,Education,4.4,10000,746,12,67600,954,244,101,2,7,4,5,0,0,1,1,0,0,0,0,0,0,4,2,0,2,0,7,0,0,1,2,50
78203800-d020-4e35-add3-ec47d0db70ea,2,Tools,4.3,10000,7,3,152,3316,1652,378,,,,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e90a66ed-efba-4eb3-8c02-c3e93904829d,2,Transportation,4.2,10000,4342,25,430133,6970,4054,941,,10,5,,0,1,1,1,0,0,0,0,0,0,8,5,0,2,0,12,0,0,1,4,95
4cdc2c76-8d39-476c-8975-d99129eedc0d,2,Music & Audio,3.8,10000,1628,12,191719,,,,2,2,2,,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,92
2ccdf435-34a1-43ce-b855-e6a3719bb0c9,2,Business,3.7,1000,910,12,92566,717,355,145,1,1,4,3,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,4,0,0,1,1,50
9ec684c1-a6dc-4575-b9f9-2b6045c1e1a5,2,Puzzle,3.8,1000000,1691,9,228523,3936,2438,420,,5,2,7,1,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
5c9a66ff-2888-47c0-9a00-0b03c23c3bf1,2,Communication,3.6,5000,13,3,443,4,0,0,5,,2,1,0,0,0,0,0,0,0,0,0,0,4,0,1,0,3,6,0,0,0,0,50
4ba2241f-ddb4-4b39-accc-00deb389788e,2,Communication,4.5,1000000,1719,6,146506,,,,5,,4,,1,1,1,1,0,0,0,0,0,0,4,7,1,1,1,9,1,1,0,1,95
79888eef-a7a1-48cd-be3b-b064a473e25c,2,Travel & Local,4.3,10000,428,12,29322,,,,3,1,6,,0,0,0,1,0,0,0,0,0,0,5,3,0,1,0,8,0,0,1,2,50
eb8585e3-951f-4195-815a-8967ec9eaaac,2,Arcade,4.1,10000000,1389,6,138501,1941,581,216,,2,2,3,1,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
93132f41-01ed-4db0-b802-a556b0d36931,2,Adventure,4.4,10000000,897,3,94529,1180,206,78,,5,2,3,0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
