APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
7b6382e1-12d7-40a9-9e8c-9ef750e58e81,1,Entertainment,1.8,10000,55,3,3513,,,,,,2,,90891,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
93403957-f00c-45df-93f8-c9b6ca684a3a,1,Finance,2.7,1000,72,6,10867,123,43,15,,,2,1,32743,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,0,51.11111111
3aceb88e-759c-4fed-a821-fa5b5f5e4153,1,Health & Fitness,2.6,5000,37,6,4055,73,14,7,,,2,,67664,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
d9e8dde7-774d-4cbf-8f21-3d83c52a3b3c,1,Education,2.9,10000,4700,12,471391,7564,3673,1253,2,1,2,,67405,0,0,1,1,0,0,0,0,0,0,1,3,0,1,0,4,0,0,0,0,51.11111111
907c445e-dc4e-4d67-b7a0-28ed6118fea6,1,Tools,2.8,1000,161,6,11835,186,40,14,1,,2,6,1838,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
bbfaebb2-04dd-4846-a7a9-741166788bdd,1,Travel & Local,1,1000,555,6,50731,755,324,138,2,2,2,,131020,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,51.11111111
ca9bcd84-a8fd-40b3-b591-16d6bf5dd9f9,1,Tools,2.5,10000,2395,12,253765,,,,11,2,4,,103139,0,0,1,1,0,0,0,0,0,0,11,5,2,1,4,17,0,0,1,2,50
23004f38-fabb-420e-b88e-d28e6266218a,1,Puzzle,2.3,1000,62,3,8039,,,,,,2,,106336,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,51.11111111
810cc125-c8b0-48fb-a70f-0642407e1a52,1,Travel & Local,2.9,10000,87,6,8943,,,,,,2,,106434,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
189839d5-7233-4804-bdec-92f2125257bc,1,Education,2.7,10000,105,6,7610,,,,,1,2,,121093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac6c7cb5-ef3d-4e55-9377-f6bbafae10f0,1,Education,2.4,1000,38,3,2960,41,4,2,,,2,,70505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6cf3b701-bbf8-44bb-955e-d6242700aa16,1,Entertainment,2.5,1000,26,3,1700,27,10,5,,,2,2,2782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12e40be6-77ff-43d5-a613-a507a13422bb,1,Business,2.6,1000,215,6,22833,283,96,40,,,2,1,28883,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,4,0,0,0,0,51.11111111
8d236074-36f0-44f0-a8b0-1f66e69dbbab,1,Puzzle,2.7,5000,1554,15,86646,,,,1,2,2,,106063,1,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,51.11111111
1b166a3c-1b10-4b5a-9d4c-4861a1ee2504,1,News & Magazines,2.2,1000,778,3378,100219,1170,394,159,4,7,5,,133909,0,0,1,1,0,0,0,0,0,0,4,2,0,1,0,6,0,0,0,2,50
25e088da-72f1-4ea3-84f9-c6482b10b4b1,1,Health & Fitness,2.8,5000,672,12,91590,,,,1,4,2,,102316,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,51.11111111
58664af6-f8a2-4d24-a65c-cc666e14c383,1,Travel & Local,2.5,1000,1134,9,132327,1867,678,244,,2,3,42,11233,0,0,1,1,0,0,0,0,0,0,3,1,0,1,0,5,0,0,0,2,50
7982fab4-dfb3-4dba-b20f-5e856886beeb,1,Books & Reference,2.9,100000,111,6,10537,162,42,19,,1,2,,69897,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
628795bf-ab00-4ace-88b3-2970f4c1f90a,1,Entertainment,2.3,1000,93,3,5631,100,11,5,1,1,3,4,5333,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,51.11111111
bb62da58-4d33-4435-aa38-620a5b5f7f28,1,Tools,2.9,10000,67,6,7887,118,27,12,2,,2,3,11626,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,3,2,0,0,2,50
44ffdb08-fa8d-42b8-b73e-f1c7479d6441,1,Tools,2,1000,66,3,7407,,,,,,2,,127635,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
15cb80d2-91a7-412c-b6df-d302843e0713,1,Lifestyle,2.8,1000,134,6,13583,211,67,28,6,,2,8,6910,0,0,1,0,0,0,0,0,0,0,1,4,0,1,0,3,0,0,1,0,51.11111111
05325316-c505-43e8-bcc4-af8d1bc0d54b,1,Media & Video,1.8,1000,158,9,10288,98,33,10,1,,2,4,1352,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,51.11111111
6c13df90-9cb3-4105-8013-54d940cf76c1,1,Tools,2.6,1000,43,6,4493,81,14,7,3,,2,,57928,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,5,0,0,1,1,50
