Files,LevenDistance
list.list_difference_oid()-outfuncs._outselectstmt(),76.0
list.list_difference_oid()-readfuncs._readrowexpr(),71.0
list.list_difference_oid()-outfuncs._outcasetestexpr(),76.0
list.list_difference_oid()-list.list_concat_unique(),39.0
list.list_difference_oid()-outfuncs._outrangetblref(),79.0
list.list_difference_oid()-list.lappend_int(),68.0
list.list_difference_oid()-list.list_head(),74.0
list.list_difference_oid()-readfuncs._readtargetentry(),76.0
list.list_difference_oid()-list.list_union_oid(),23.0
list.list_difference_oid()-list.list_member_int(),47.0
list.list_difference_oid()-readfuncs._readrangevar(),72.0
list.list_difference_oid()-readfuncs._readaggref(),76.0
list.list_difference_oid()-readfuncs._readfuncexpr(),74.0
list.list_difference_oid()-readfuncs._readbooleantest(),68.0
list.list_difference_oid()-outfuncs._outdefelem(),71.0
list.list_difference_oid()-readfuncs._readrowmarkclause(),73.0
outfuncs._outsortgroupclause()-outfuncs._outbitmapheapscan(),48.0
outfuncs._outsortgroupclause()-outfuncs._outjoinpathinfo(),52.0
outfuncs._outsortgroupclause()-outfuncs._outaggref(),46.0
outfuncs._outsortgroupclause()-outfuncs._outvaluesscan(),48.0
outfuncs._outsortgroupclause()-outfuncs._outctescan(),43.0
outfuncs._outsortgroupclause()-list.list_copy(),74.0
outfuncs._outsortgroupclause()-readfuncs._readsortgroupclause(),78.0
outfuncs._outsortgroupclause()-readfuncs._readintoclause(),77.0
outfuncs._outsortgroupclause()-outfuncs._outlimit(),47.0
outfuncs._outsortgroupclause()-list.list_concat_unique_ptr(),69.0
outfuncs._outsortgroupclause()-readfuncs._readnulltest(),73.0
outfuncs._outsortgroupclause()-outfuncs._outcreatestmt(),55.0
outfuncs._outsortgroupclause()-list.list_union(),70.0
outfuncs._outsortgroupclause()-outfuncs._outselectstmt(),74.0
outfuncs._outsortgroupclause()-readfuncs._readrowexpr(),79.0
outfuncs._outsortgroupclause()-outfuncs._outcasetestexpr(),47.0
outfuncs._outsortgroupclause()-list.list_concat_unique(),69.0
outfuncs._outsortgroupclause()-outfuncs._outrangetblref(),54.0
outfuncs._outsortgroupclause()-list.lappend_int(),66.0
outfuncs._outsortgroupclause()-list.list_head(),70.0
outfuncs._outsortgroupclause()-readfuncs._readtargetentry(),83.0
outfuncs._outsortgroupclause()-list.list_union_oid(),69.0
outfuncs._outsortgroupclause()-list.list_member_int(),68.0
outfuncs._outsortgroupclause()-readfuncs._readrangevar(),79.0
outfuncs._outsortgroupclause()-readfuncs._readaggref(),82.0
outfuncs._outsortgroupclause()-readfuncs._readfuncexpr(),80.0
outfuncs._outsortgroupclause()-readfuncs._readbooleantest(),73.0
outfuncs._outsortgroupclause()-outfuncs._outdefelem(),44.0
outfuncs._outsortgroupclause()-readfuncs._readrowmarkclause(),78.0
outfuncs._outsortgroupclause()-list.list_difference_oid(),71.0
outfuncs._outfuncexpr()-outfuncs._outbitmapheapscan(),56.0
outfuncs._outfuncexpr()-outfuncs._outjoinpathinfo(),45.0
