,rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
5-Mar,327,Books & Reference,3.7,1000,50,308,6,22445,0,4,2,91
5-Mar,333,Productivity,4.3,10000,0,20,3,2408,0,0,2,4
5-Mar,335,Education,4.4,50000,51,554,9,59768,2,2,4,153
5-Mar,336,Music & Audio,3.8,500000,100,1038,9,126976,0,6,3,296
5-Mar,337,Music & Audio,3.7,500000,100,1038,9,126976,0,6,4,296
5-Mar,338,Music & Audio,3.9,100000,100,1811,9,231967,0,7,3,472
5-Mar,339,Tools,4.2,500000,92,1351,9,158075,1,3,15,391
5-Mar,340,Music & Audio,3.9,500000,100,1035,6,126567,0,6,2,296
5-Mar,349,Transportation,3.1,5000,50,1257,15,233419,2,6,7,1071
5-Mar,353,Sports,3.8,10000,51,234,6,18709,0,1,3,90
5-Mar,354,Entertainment,3.6,10000,50,571,6,54823,0,1,4,153
5-Mar,357,Entertainment,3.9,100000,92,709,6,86922,1,1,4,179
5-Mar,358,Sports,4,10000,92,2777,9,355827,0,6,3,602
5-Mar,359,Tools,3.6,1000000,92,975,9,99207,1,3,3,233
5-Mar,361,Tools,4.1,500000,51,502,22681,49951,2,1,1,261
5-Mar,362,Music & Audio,3.8,500000,0,1085,320061,169684,0,1,5,346
5-Mar,363,Puzzle,4.5,500000,51,103,12,9341,0,2,5,43
5-Mar,364,Personalization,4.3,500000,51,36,3,4102,0,0,1,10
5-Mar,366,Personalization,4.4,100000,0,85,3,5809,1,2,10,24
5-Mar,367,Casual,3.8,1000000,92,649,6,92324,0,2,3,188
5-Mar,368,Music & Audio,4.3,100000,51,70,5111,7488,1,1,25,20
5-Mar,369,Weather,4.1,500000,0,41,6,3494,0,1,11,8
5-Mar,370,Casual,3.6,1000000,51,164,6,25089,1,4,2,56
5-Mar,371,Weather,4.3,500000,0,220,6,20437,0,2,5,43
5-Mar,373,Weather,4.2,500000,0,45,3,3559,0,2,6,11
5-Mar,374,Puzzle,4,100000,92,3883,9,445183,0,4,8,909
5-Mar,375,Action,4,100000,50,516,3,49795,1,2,4,171
5-Mar,376,Weather,4.3,1000000,0,12,3,557,0,1,8,1
5-Mar,377,Tools,4.2,1000000,50,192,3,15584,0,0,3,62
5-Mar,378,Communication,4.2,1000000,51,226,4961,22080,0,1,4,81
5-Mar,379,Shopping,4.4,1000000,50,1859,12,172263,3,2,14,496
5-Mar,380,Education,4.2,1000000,92,291,6,50878,1,1,2,102
5-Mar,381,Productivity,4.2,1000000,51,1786,9,176741,4,4,14,455
5-Mar,382,Weather,4.3,1000000,0,28,3,2369,0,1,5,8
5-Mar,383,Weather,4.3,1000000,0,45,3,3559,0,2,6,11
5-Mar,384,Shopping,4,500000,92,2969,9,335287,3,1,2,572
5-Mar,385,Personalization,4.1,1000000,92,1065,15,110050,7,3,19,276
5-Mar,387,Photography,3.7,1000000,100,752,9,86644,3,1,9,172
5-Mar,389,Tools,3.7,1000000,92,671,9,94529,2,2,9,189
5-Mar,390,Word,4.6,1000000,100,2063,13765,197068,0,4,4,588
5-Mar,391,Puzzle,4.5,1000000,51,104,12,9354,0,2,2,43
5-Mar,393,Travel & Local,4.4,5000000,50,4171,9,346629,1,3,3,1061
5-Mar,395,Photography,3.9,10000000,100,5744,28,616675,1,4,5,1745
5-Mar,396,Personalization,4.5,1000000,0,299,6,28459,0,2,8,88
5-Mar,397,Media & Video,4,10000000,100,3159,18,275531,2,4,26,805
5-Mar,398,Photography,4.1,10000000,100,6016,28,646210,1,5,11,1814
5-Mar,400,Productivity,4.5,50000000,51,1943,325194,184586,3,3,5,617
5-Mar,401,Lifestyle,3.4,1000,51,772,12,79487,1,1,5,274
5-Mar,409,Casual,4.3,100000,50,686,9,63376,0,2,9,172
5-Mar,412,Casual,4.4,10000,50,458,9,44058,0,4,3,134
5-Mar,413,Puzzle,4.1,10000,51,245,3,27398,1,0,5,78
5-Mar,414,Finance,4.2,50000,51,508,6,37287,0,1,3,124
5-Mar,415,Casino,4.6,50000,92,600,6,59898,6,5,5,190
5-Mar,421,Tools,3.7,50000,51,87,5117,14955,0,0,2,20
5-Mar,425,Tools,4,10000,50,618,12,65414,2,2,9,174
5-Mar,426,Finance,4,10000,50,921,15,83469,1,2,3,354
5-Mar,427,Card,4.1,50000,51,2895,15,255728,1,1,3,691
5-Mar,428,Arcade,3.6,50000,0,22,3,1514,0,0,2,1
