AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
Current Affairs 2014,Education,4.2,100000,1,100,178,3,68147,6,2,20
Memory Games Things & Toys,Education,4.1,10000,1,92,513,6,337900,1,4,3
??? ??/?? ????(?? ?? ?? ??),Education,4.3,10000,1,51,123,6,21702,0,7,7
Kids numbers and math games,Education,4.3,10000,1,92,1181,15,468155,0,9,2
Learn How to Draw People Art,Education,3.9,10000,1,92,149,6,92995,0,0,7
Kids Numbers and Maths Free,Education,3.7,50000,1,92,344,12,106667,0,6,3
Maths Bee For Kids Free,Education,3.8,100000,1,92,451,12,155169,0,6,13
Learning to Write. Calligraphy,Education,3.6,10000,1,92,68,12,23742,0,5,13
Multiplication table,Education,3.9,100000,1,0,46,6,27618,0,2,12
Multiplication Tables,Education,3.5,10000,1,92,134,9,70034,0,1,38
Learn to Read Spanish,Education,3.9,100000,1,92,68,12,23742,0,5,3
Duolingo: Learn Languages Free,Education,4.6,10000000,0,51,1379,12,526438,1,5,13
MePlayer Movie,Education,4,500000,0,92,411,3,173363,3,2,3
Gocco ZomBeat-Music Game,Education,3.6,100000,0,51,411,12,161808,0,1,2
Ray Optics,Education,4.2,10000,0,0,142,6,45820,0,1,20
Montessori Words &Phonics Free,Education,3.8,50000,0,0,150,9,73351,0,1,24
Learn and Play - ABC - Kids,Education,4,50000,0,51,348,12,114182,0,8,2
Princesses Learn French,Education,3.9,10000,0,51,56,18,23257,1,1,21
Princesses Learn Sight Words,Education,3.4,10000,0,51,56,18,24200,1,1,1
FactorizationA,Education,4.4,10000,0,0,168,3,8909,0,0,4
Kisah Islami untuk Anak-anak,Education,4.3,10000,0,50,1255,6,33448,4,2,8
"Hutos Eng VOD 5 (S2, Ep.01~03)",Education,4.4,100000,0,92,754,12,270151,1,5,31
"Hutos VOD 1 (S1, Ep.01 ~ 03)",Education,3.6,10000,0,92,484,12,310450,1,5,6
???? - ????? (Sammy????),Education,4.6,100000,0,92,145,6,65545,2,3,2
Rhythm&Voca Lite,Education,3.7,10000,0,51,40,6,7345,0,4,2
Voca Bakery Lite,Education,4,10000,0,51,72,6,14033,0,3,2
Toddler - fun for toddlers,Education,3.6,50000,0,92,260,12,65907,0,9,10
Sound Farm Free,Education,3.7,10000,0,51,153,9,55032,0,1,11
Coloring Book(Vehicle),Education,4,10000,0,92,83,9,45573,1,2,8
Coloring Book(home),Education,4.5,10000,0,92,83,9,45628,1,2,3
Coloring Book (Sea / Forest),Education,4.2,10000,0,92,83,9,45639,1,2,8
Top 10 Fast Motorbikes FREE,Education,4.1,10000,0,51,515,6,64982,1,1,6
Toddler Animal Sounds,Education,4.1,500000,0,51,114,6,39338,0,2,1
Animal Sound Box,Education,3.9,10000,0,51,124,6,22601,0,7,8
(Hangul)Korean Coloring Book,Education,4.1,10000,0,92,83,9,46431,1,2,7
Coloring Book(Animal),Education,4.2,10000,0,92,83,9,45696,1,2,3
How To Draw Motorcycle,Education,3.9,10000,0,51,190,9,70591,0,3,5
Auto Catalog,Education,3.8,10000,0,92,134,6,69777,0,1,2
ABC Coloring Book(Alphabet),Education,4.1,50000,0,92,83,9,47214,1,2,1
?? ??????,Education,3.2,10000,0,50,12,6,3586,2,2,8
KidsSong,Education,4.3,10000,0,51,109,9,41386,1,2,6
LeichtkraftrÑder FÅhrerschein,Education,3.9,50000,0,92,109,9,49500,0,1,7
Kids Games (4 in 1),Education,4.4,100000,0,51,309,24,55546,1,3,6
ABC Arabic for kids ?????,Education,4,500000,0,92,198,9,86734,0,2,13
Tracing ABC: Letter Worksheets,Education,4.1,100000,0,0,362,12,114087,0,8,5
Kids Games 2 (4 in 1),Education,4.5,100000,0,51,291,24,54953,1,3,5
??PHONE???????????(??????/??),Education,4.5,50000,0,92,219,12,61434,0,5,3
"????-???(??,??,??,??,???,???)",Education,4.5,100000,0,92,754,15,448809,3,3,7
YIERSAN BASIC CHINESE,Education,4.2,100000,0,50,7,3,3998,3,1,3
French in a Month Free,Education,3.8,500000,0,51,203,9,81324,0,3,12
Kids Learning Letters Lite,Education,4,100000,0,0,210,6,76471,0,8,11
Assignment Planner FREE,Education,4.2,100000,0,51,61,5117,17095,0,0,6
LearnEnglish Grammar (UK ed.),Education,4.1,500000,0,51,331,15,119367,1,5,10
kids Puzzle:Animal,Education,4.2,500000,0,51,125,9,45653,0,2,12
???? ??? ????????,Education,4.6,100000,0,0,26,6,12272,0,1,4
???????? ???,Education,4.3,500000,0,51,139,3,16897,2,1,9
??? ??,Education,4,500000,0,92,820,9,299447,0,4,24
Songs for Kids with PINKFONG,Education,4.2,1000000,0,51,639,12,170444,0,2,3
Dr. Panda's Hospital - Free,Education,4,1000000,0,51,89,6,15461,0,3,3
PicsArt for Kids,Education,4.4,1000000,0,92,557,9,231090,1,3,1
Learn Languages Free - busuu,Education,4.4,1000000,0,92,1013,277706,397427,2,3,4
How to Draw - Easy Lessons,Education,4.3,5000000,0,92,576,6,253902,0,2,7
TED,Education,4.5,5000000,0,51,632,12,242350,0,1,2
Spell The Pics,Education,4.4,10000,0,92,416,9,144291,0,2,3
??? - ?? ??? ?? ??? ?? ??,Education,4.3,500000,0,92,648,15,144111,1,2,3
??? - ?? ???? ?? ??? ?? ??,Education,4.5,1000000,0,92,716,18,168212,1,2,4
?? ?? - Daum Dictionary,Education,4.4,1000000,0,51,610,16,227874,5,4,1
CDL Flashcards,Education,4.4,10000,0,92,703,9,329804,1,3,2
??????? ??????????,Education,3.7,10000,0,51,42,3,13661,0,0,10
?????????? a?????????,Education,3.6,50000,0,51,42,3,13661,0,0,2
TEAS Flashcards,Education,4.3,10000,0,92,703,9,329804,1,3,7
CNA Flashcards,Education,4.5,10000,0,92,703,9,329804,1,3,7
Learn Korean 2 - Free,Education,3.8,10000,0,0,217,12,58577,0,8,9
Learn Korean 1 - Free,Education,3.7,10000,0,0,348,12,114182,0,8,11
Tree Height Measurement,Education,3.5,50000,0,51,1,3,2044,0,1,3
??? ??? ?? ?? ?? LC Lite,Education,4.3,10000,0,51,27,9,15235,1,0,7
[??? ?] ??????,Education,3.1,10000,0,0,35,6,25092,0,3,5
????? 23? ???,Education,4.1,10000,0,0,53,6,25003,0,3,5
????? 22? ???,Education,4.2,10000,0,0,53,6,25003,0,3,13
??? ?? VOCA Lite,Education,3.7,10000,0,51,29,9,24132,1,0,2
"??? ??? ?? ?? ?? Part5,6 Lite",Education,3.6,10000,0,51,36,9,32474,1,1,14
??? ??? ?? ?? ??? Lite,Education,3.8,100000,0,51,41,9,19362,1,0,15
??? ??? ?? ?? ?? LC Lite,Education,4,100000,0,51,25,9,16742,1,0,10
SMART Speaking TOEFL - ucloud,Education,3.7,10000,0,51,95,5129,47136,1,1,2
Oops i-Kooo1:Safety Education,Education,4.3,50000,0,51,462,9,125663,0,3,11
Dibo the Gift Dragon 1,Education,4.1,100000,0,51,471,9,127202,0,3,2
GUT ?? ??? for EDUWORDs,Education,4.5,10000,0,92,285,6,145795,1,3,40
[??]???? ????,Education,4.4,10000,0,51,50,5098,13014,0,0,4
???? 2014?????-???? ??? ??? ??,Education,4.2,10000,0,92,340,9,180122,1,4,8
???? - ??? ???,Education,4.4,10000,0,92,340,9,180121,1,4,6
???? - ??(TOEIC) ???,Education,4.1,10000,0,92,340,9,180105,1,4,5
EDUWORDic-???? ???? ??? ?? ???,Education,4.2,10000,0,92,354,9,187491,2,4,5
??? ??? ???? - ?? ?? ???? ??,Education,4.4,10000,0,92,272,6,120609,1,2,4
EDUWORDs-?????? ?? ?? ??? ????,Education,4.5,100000,0,92,590,9,423235,2,1,6
???? ???? - ?? ?? ????  ?????,Education,4,10000,0,51,97,15,32912,3,2,14
????? ???? - ?? ?? ???? ?????,Education,4.4,10000,0,51,98,15,33364,0,3,3
WOWRG - ??? ???? ?? ????,Education,4.1,50000,0,100,136,5098,40853,2,0,7
Youth Ministries,Education,4.3,10000,0,51,5,6,1630,1,0,5
