Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,JLINT_LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Tools,4.2,5000000,4394,15,0.0029088,6480,2959,711,0,12,2,0,137356,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,4,0,0,0,0,92
2,Medical,4.3,1000,275,6,0.0041703,280,46,20,0,3,3,0,58088,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,51.11111111
2,Puzzle,4,10000,2631,6,0.0014811,5982,4419,759,2,1,2,4,6795,0,1,1,1,0,0,0,0,0,0,1,5,0,1,0,2,0,0,1,0,92
2,Books & Reference,3.7,5000,85,6,0.0027849,155,46,22,0,0,2,0,68399,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,51.11111111
2,Books & Reference,4.5,10000,653,6,0.0023398,873,324,132,4,3,2,7,11543,0,0,1,1,0,0,0,0,0,0,2,3,0,1,0,5,1,0,0,1,50
2,Action,4.5,1000000,244,6,0.0026879,399,58,26,0,2,2,0,70835,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
2,Racing,3.8,1000000,771,12,0.0023585,1180,506,164,1,1,5,0,70697,0,0,1,1,0,0,0,0,0,0,5,6,0,1,0,7,0,0,1,2,50
2,Adventure,4.2,500000,489,6,0.0039401,611,86,40,0,2,2,0,53592,1,0,1,1,0,0,0,0,0,0,1,3,0,1,0,3,0,0,0,0,51.11111111
2,Finance,4.3,5000,2485,16,0.0034116,2871,1088,400,0,1,5,0,69540,1,1,1,1,0,0,0,0,0,0,4,1,0,1,0,6,0,0,0,2,50
2,Tools,4.1,10000,2838,12,0.0025924,3053,840,318,2,4,2,9,19167,1,0,1,1,0,0,0,0,0,0,6,5,0,1,0,8,1,0,0,2,50
2,Action,4.2,100000,420,6,0.0030782,745,230,89,3,5,2,0,50727,1,1,1,1,0,0,0,0,0,0,1,6,0,1,0,3,0,0,1,0,92
2,Tools,3.6,10000000,1698,6,0.0027394,2595,826,313,5,1,4,0,137916,0,0,1,1,0,0,0,0,0,0,7,7,1,1,2,12,0,0,0,2,50.66666667
2,Entertainment,3.5,5000,880,9,0.0023191,1343,532,219,1,3,2,2,16672,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,5,0,0,0,2,50
2,Sports,4.2,1000,13,3,0,14,9,4,0,0,3,0,67734,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
2,Casual,3.7,500000,1205,9,0.0020422,1705,688,206,0,9,2,0,60118,0,1,1,1,0,0,0,0,0,0,1,2,0,1,0,3,0,0,0,0,92
2,Tools,3.5,500000,10,6,0,810,301,103,0,0,1,0,68078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
